Author,Title,Place of Publication,Year,Printer,Genre
"Ledesma, Alonso de",Conceptos espirituales Parte I,Madrid,1605,ImprentaReal,Poetry
"Ledesma, Alonso de",Conceptos espirituales Parte I,Lisboa,1605,Alvarez,Poetry
"Ledesma, Alonso de",Conceptos espirituales Parte I,Barcelona,1605,Cormellas,Poetry
"Ledesma, Alonso de",Conceptos espirituales Parte I,Barcelona,1606,Cormellas,Poetry
"Ledesma, Alonso de",Conceptos espirituales Parte I,Barcelona,1606,Cendrat,Poetry
"Ledesma, Alonso de",Conceptos espirituales Parte I,Barcelona,1607,Cormellas,Poetry
"Ledesma, Alonso de",Conceptos espirituales Parte I,Madrid,1608,ImprentaReal,Poetry
"Ledesma, Alonso de",Conceptos espirituales Parte I,Madrid,1609,ImprentaReal,Poetry
"Ledesma, Alonso de",Conceptos espirituales Parte I,Barcelona,1612,Margarit,Poetry
"Ledesma, Alonso de",Conceptos espirituales Parte I,Madrid,1612,Cuesta,Poetry
"Ledesma, Alonso de",Conceptos espirituales Parte I,Lerida,1612,Manescal,Poetry
"Ledesma, Alonso de",Conceptos espirituales Parte I,Valladolid,1613,Rueda,Poetry
"Ledesma, Alonso de",Conceptos espirituales Parte I,Madrid,1613,Martin,Poetry
"Ledesma, Alonso de",Conceptos espirituales Parte II,Madrid,1606,ImprentaReal,Poetry
"Ledesma, Alonso de",Conceptos espirituales Parte II,Burgos,1606,Lasso,Poetry
"Ledesma, Alonso de",Conceptos espirituales Parte II,Barcelona,1607,Cendrat,Poetry
"Ledesma, Alonso de",Conceptos espirituales Parte II,Alcala,1607,Gracian,Poetry
"Ledesma, Alonso de",Conceptos espirituales Parte II,Valladolid,1613,Rueda,Poetry
"Ledesma, Alonso de",Conceptos espirituales Parte III,Madrid,1612,Cuesta,Poetry
"Ledesma, Alonso de",Conceptos espirituales Parte III,Lerida,1612,Manescal,Poetry
"Ledesma, Alonso de",Conceptos espirituales Parte III,Madrid,1615,,Poetry
"Ledesma, Alonso de",Conceptos espirituales Parte III,Madrid,1616,,Poetry
"Ledesma, Alonso de",Conceptos espirituales Parte III,Barcelona,1616,,Poetry
"Ledesma, Alonso de",Juegos de Noche Buena,Madrid,1611,Martin,Poetry
"Ledesma, Alonso de",Juegos de Noche Buena,Barcelona,1611,Cormellas,Poetry
"Ledesma, Alonso de",Juegos de Noche Buena,Zaragoza,1611,Robles,Poetry
"Ledesma, Alonso de",Juegos de Noche Buena,Madrid,1613,Martin,Poetry
"Ledesma, Alonso de",Romancero y monstruo imaginado,Madrid,1615,Martin,Poetry
"Ledesma, Alonso de",Romancero y monstruo imaginado,Madrid,1616,Martin,Poetry
"Ledesma, Alonso de",Romancero y monstruo imaginado,Barcelona,1616,Cormellas,Poetry
"Ledesma, Alonso de",Romancero y monstruo imaginado,Lerida,1616,Manescal,Poetry
"Madrigal, Miguel de",Segunda parte del Romancero general,Valladolid,1605,Sanchez,Poetry
"Manuel de Villegas, Esteban",Las eroticas o amatorias,Najera,1618,,Poetry
"Mexia de Fernangil, Diego",Primera parte del Parnaso antaritico,Sevilla,1608,Gamara,Poetry
"Perez de Villagra, Gaspar",Historia de La Nueva Mexico,Alcala,1610,Martinez,Poetry
"Quevedo y Villegas, Francisco de",Lagrimas de Hieremias castellanas,,1613,,Poetry
,Romancero general,Madrid,1600,Sanchez,Poetry
,Romancero general,Medina de Campo,1602,Godinez,Poetry
,Romancero general,Valladolid,1602,Godinez,Poetry
,Romancero general,Madrid,1604,Cuesta,Poetry
,Romancero general,Madrid,1614,Cuesta,Poetry
"Salas Barbadillo, Alonso Jeronimo",Rimas castellanas,Madrid,1618,Martin,Poetry
"Suarez de Figueroa, Cristobal",Espana defendida,Madrid,1612,Cuesta,Poetry
"Valdivielso, Jose de",Romancero espiritual de Santisimo Sacramento,Toledo,1612,Rodriguez,Poetry
"Valdivielso, Jose de",Romancero espiritual de Santisimo Sacramento,Zaragoza,1613,Cabarte,Poetry
"Valdivielso, Jose de",Romancero espiritual de Santisimo Sacramento,Valencia,1613,Chrysostomo,Poetry
"Valdivielso, Jose de",Romancero espiritual de Santisimo Sacramento,Lerida,1616,Manescal,Poetry
"Valdivielso, Jose de",Romancero espiritual de Santisimo Sacramento,Toledo,1618,Rodriguez,Poetry
"Valdivielso, Jose de",Romance de la Inmaculada concepcion,Sevilla,1616,Ramos,Poetry
"Valdivielso, Jose de",Romance de la Inmaculada concepcion,Zaragoza,1618,Larombe,Poetry
"Valdivielso, Jose de",Sagrario de Toledo,Madrid,1616,Sanchez,Poetry
"Valdivielso, Jose de",Sagrario de Toledo,Barcelona,1618,Liberos,Poetry
"avila, Francisco de",Flor de las comedias de Espana de diferentes autores parte V,Madrid,1615,Sanchez,Theatre
"avila, Francisco de",Flor de las comedias de Espana de diferentes autores parte V,Barcelona,1616,Cormellas,Theatre
"avila, Francisco de",Flor de las comedias de Espana de diferentes autores parte V,Alcala,1615,V. de Martinez,Theatre
"Castro, Guillen de",Primera parte de las comedias,Valencia,1618,Mey,Theatre
"Cervantes Saavedra, Miguel",Ocho comedias y ocho entremeses nuevos nunca representados,Madrid,1615,Martinez,Theatre
,Cuatro comedias de diversos autores,Cordoba,1613,Cea,Theatre
,Cuatro comedias de don Luis de Gongoray Lope de Vega,Madried,1613,Sanchez,Theatre
,Cuatro comedias de don Luis de Gongoray Lope de Vega,Madrid,1617,Berrillo,Theatre
,Doze Comedias famosas de quatro poetas naturales de la ... ciudad de Valencia ,Valencia,1608,Mey,Theatre
,Doze Comedias famosas de quatro poetas naturales de la ... ciudad de Valencia ,Valencia,1609,Mey,Theatre
,Doze Comedias famosas de quatro poetas naturales de la ... ciudad de Valencia ,Barcelona,1609,Cormellas,Theatre
,Doze Comedias famosas de quatro poetas naturales de la ... ciudad de Valencia ,Madrid,1614,Serrano,Theatre
"Jauregui, Juan de",Aminta,Roma,1607,Paulino,Theatre
"Lope de Vega Carpio, Fenix",Seis comedias de Lope de Vera Carpio y de otros autores,Madrid,1603,Madrigal,Theatre
"Lope de Vega Carpio, Fenix",Seis comedias de Lope de Vera Carpio y de otros autores,Lisboa,1603,Crasbeeck,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte I,Valladolid,1604,Sanchez,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte I,Zaragoza,1604,Tavano,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte I,Lisboa,1605,Rodriguez,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte I,Valencia,1605,Leget,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte I,Valladolid,1605,Bostillos,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte I,Amberes,1607,Nucio,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte I,Valladolid,1609,Bostillos,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte II,Madrid,1609,Martin,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte II,Valladolid,1609,Bostillos,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte II,Madrid,1610,Martin,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte II,Barcelona,1611,Cormellas,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte II,Valladolid,1611,Cuesta,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte II,Bruselas/Amberes,1611,Velpio/V.de Bellero,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte II,Lisboa,1612,Crasbeeck,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte II,Madrid,1618,Cuesta,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte III,Barcelona,1612,Cormellas,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte III,Madrid,1613,Serrano,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte III,Barcelona,1614,Cormellas,Theatre
"Lope de Vega Carpio, Fenix",Comedias parte IV,Madrid,1614,Siles,Theatre
